Modalidad;actividad;descripcion;lugar;direccion;calle;altura;barrio;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;suspende_por_lluvia;gratuita;long;lat;links
Presencial;Dj Andres Cumbia Landero;Energía tropical;USINA DEL ARTE;;AGUSTÍN R. CAFFARENA;1.0;LA BOCA;4.0;2020-02-16;2020-02-16;Actividad;Concierto / Recital;Música;Público General;No;Si;-58.3570997;-34.6287761;
Presencial;Nube;NUBE es una instalación lúdica para chicas y chicos de 4 a 7 años. Dispuesta sobre un gran cielo, la experiencia propone distintos juegos en los cuáles se podrá saltar y rebotar sobre nubes, hamacarse;USINA DEL ARTE;;AGUSTÍN R. CAFFARENA;1.0;LA BOCA;4.0;2020-02-07;2020-02-07;Actividad;Exposición;Otros;Niños (4-7);No;Si;-58.3570997;-34.6287761;
Presencial;Corso de Carnaval Barracas;Las murgas son las protagonistas que animan con bailes, silbatos, bombos con platillo y redoblantes los diferentes corsos de la Ciudad.;;;;;;;2020-02-08;2020-02-08;Actividad;Fiesta popular;Cultura Tradicional Popular y Patrimonio Inmaterial;Público General;No;Si;;;
Presencial;Cultura Hip Hop;Torneo de breaking y freestyle dance 1 vs. 1. Terraza;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-01-18;2020-01-18;Actividad;Ciclo;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Ciclo de la Escuela Feminista de Pintura;Transformando la sala en un aula de colores, Ad Minoliti crea un espacio donde activistas, académicxs y artistas ofrecen clases con el objetivo de revisar los géneros tradicionales de la pintura.;MUSEO DE ARTE MODERNO DE BUENOS AIRES;;AV. SAN JUAN;350.0;SAN TELMO;1.0;2020-01-18;2020-01-18;Actividad;Formación;Artes Visuales;Público General;No;Si;-58.3707230150043;-34.6218932900146;
Presencial;Petróleo;Yacimiento en la Patagonia. Cuatro hombres conviven en un trailer y, a unos metros, extraen petróleo. Arriba el tiempo libre se cubre de polvo. Abajo la piedra se fractura para extraer la última gota.;TEATRO METROPOLITAN SURA;CORRIENTES AV. 1343;CORRIENTES AV.;1343.0;SAN NICOLÁS;1.0;2020-01-26;2020-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38584104000083;-34.60386919735084;https://festivales.buenosaires.gob.ar/2019/fiba/es/home
Presencial;Amor de V erano. Ves,  querés;Feria Fotosfera Club. Patio e los Naranjos;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-02-15;2020-02-15;Actividad;Encuentro;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;Visitas guiadas a la Casa Fernández Blanco;Los guías introducen a los visitantes en la historia de Isaac Fernández Blanco y la casa que fundó y habitó. Se recorren las distintas salas existentes en el museo y las que se proyectan realizar.;CASA FERNÁNDEZ BLANCO (PERTENCE AL MUSEO);;HIPÓLITO YRIGOYEN;1420.0;MONTSERRAT;1.0;2020-01-05;2020-01-05;Actividad;Visita / Recorrido;Patrimonio Material;Público General;No;Si;-58.3867054;-34.6100975;
Presencial;Amor de V erano. Clases de Verano;Ver, dibujar y colorear con Mariano Grassi y Daniela Kantor. Plaza Francia;CENTRO CULTURAL RECOLETA;;JUNIN;1930.0;RECOLETA;2.0;2020-01-18;2020-01-18;Actividad;Encuentro;Mixto;Jóvenes (13-21);No;Si;-58.3915749334467;-34.5864969834147;http://www.centroculturalrecoleta.org/agenda
Presencial;"""El duodécimo hombre"", de Harald Zwart - Nuevo cine noruego";Una selección de largometrajes recientes realizados en el país nórdico, representativos de la vitalidad y riqueza de su producción cinematográfica. En colaboración con la Embajada de Noruega;TEATRO SAN MARTÍN;;AVENIDA CORRIENTES;1530.0;SAN NICOLÁS;1.0;2020-02-15;2020-02-15;Actividad;Ciclo;Cine y Audiovisual;Público General;No;Si;-58.3886391689903;-34.6042417731319;
